Colony_ants,Colony_eggs,Treatment_ants,Treatment_eggs,Relatedness_eggs,Replicate,Percent_eggs_to_larvae,Survived_larvae,Not_Survived_larvae,Percent_larvae_to_pupae,Survived_pupae,Not_Survived_pupae,Percent_larvae_to_pupae_corrected,Survived_pupae_corrected,Not_Survived_pupae_corrected
119-02,119-02,t,t,own,1,100,20,0,30,6,14,30,6,14
118-22,119-16,u,t,foreign,1,30,6,14,5,1,19,16.6666666666667,1,5
119-10,119-03,u,u,foreign,1,100,20,0,50,10,10,50,10,10
118-03,118-10,t,t,foreign,1,55,11,9,0,0,20,0,0,11
119-17,119-04,t,u,foreign,1,100,20,0,95,19,1,95,19,1
119-20,119-11,u,t,foreign,1,95,19,1,15,3,17,15.7894736842105,3,16
119-17,119-17,t,t,own,1,55,11,9,25,5,15,45.4545454545455,5,6
119-20,119-20,u,u,own,1,100,20,0,30,6,14,30,6,14
119-24,118-22,u,u,foreign,1,100,20,0,35,7,13,35,7,13
119-03,118-15,u,u,foreign,1,95,19,1,30,6,14,31.5789473684211,6,13
119-24,118-19,u,t,foreign,1,40,8,12,0,0,20,0,0,8
118-10,119-02,t,t,foreign,1,100,20,0,10,2,18,10,2,18
118-19,119-24,t,u,foreign,1,100,20,0,85,17,3,85,17,3
119-03,118-10,u,t,foreign,1,25,5,15,0,0,20,0,0,5
118-15,118-15,u,u,own,1,100,20,0,30,6,14,30,6,14
119-11,119-11,t,t,own,1,40,8,12,0,0,20,0,0,8
118-10,119-03,t,u,foreign,1,100,20,0,100,20,0,100,20,0
118-15,119-02,u,t,foreign,1,55,11,9,10,2,18,18.1818181818182,2,9
119-04,119-04,u,u,own,1,100,20,0,45,9,11,45,9,11
119-04,119-17,u,t,foreign,1,30,6,14,0,0,20,0,0,6
119-11,119-20,t,u,foreign,1,100,20,0,90,18,2,90,18,2
119-16,118-03,t,t,foreign,1,100,20,0,5,1,19,5,1,19
118-22,119-10,u,u,foreign,1,95,19,1,40,8,12,42.1052631578947,8,11
119-10,118-03,u,t,foreign,1,80,16,4,15,3,17,18.75,3,13
118-19,119-16,t,t,foreign,1,70,14,6,0,0,20,0,0,14
